a.canonical	b.canonical	relation	pmid	a.organism	b.organism	a.common	a.canonicalIdType	b.common	b.canonicalIdType	cellType	a.modification	a.cellularComponent	b.modification	b.cellularComponent	detectionMethod	comment
7422	3791	activates	16724055	9606	9606	VEGFA	entrezGeneID	KDR	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, hypoxia-induced vegf binds vegfr2(kdr), fig1
285	7010	inhibits	16724055	9606	9606	ANGPT2	entrezGeneID	TEK	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, hypoxia-induced ang-2 (angpt2) binds tie-2(tek), fig1
285	284	inhibits	16724055	9606	9606	ANGPT2	entrezGeneID	ANGPT1	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, hypoxia-induced ang-2 inhibits ang-1
284	7010	activates	16724055	9606	9606	ANGPT1	entrezGeneID	TEK	entrezGeneID	NA	phosphorylated	cytoplasm	NA	NA	literature	mazure, ang-1(angpt1) binds tie-2(tek), fig1
3091	7422	TF binding	22955619	9606	9606	HIF1A	entrezGeneID	VEGFA	entrezGeneID	NA	NA	NA	NA	NA	literature	gerstein.2012 (hif1a regulates vegf)
3725	7422	TF binding	22955619	9606	9606	JUN	entrezGeneID	VEGFA	entrezGeneID	NA	NA	NA	NA	NA	literature	gerstein.2012 (jun regulates vegf)
6667	7422	TF binding	22955619	9606	9606	SP1	entrezGeneID	VEGFA	entrezGeneID	NA	NA	NA	NA	NA	literature	gerstein.2012 (sp1 regulates vegf)
54583	3091	hydroxylates	16724055	9606	9606	EGLN1	entrezGeneID	HIF1A	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, egln1(phd2) hydroxylates hif1a
112399	3091	hydroxylates	16724055	9606	9606	EGLN3	entrezGeneID	HIF1A	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, egl3(phd3) hydroxylates hif1a
7428	3091	proteolyzes	10823831	9606	9606	VHL	entrezGeneID	HIF1A	entrezGeneID	NA	NA	NA	proteolyzed	NA	literature	oxygen-dependent proteolysis of hif1a by vhl tumor suppressor
846	3091	inactivates	16724055	9606	9606	CASR	entrezGeneID	HIF1A	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, casr(fih) hydroxylates hif1a
low oxygen	846	inhibits	16724055	9606	9606	low oxygen	NA	CASR	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, fih detects o2, is disabled
low oxygen	54583	inhibits	16724055	9606	9606	low oxygen	NA	EGLN1	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, egln1 detects o2
low oxygen	112399	inhibits	16724055	9606	9606	low oxygen	NA	EGLN3	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, egln3 detects o2
growth factors	2033	activates	16724055	9606	9606	growth factors	NA	EP300	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, ep300 activated by ERK
1432	7422	stabilizes.mrna	16724055	9606	9606	MAPK14	entrezGeneID	VEGFA	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, mapk14(p38) stabilizes vegf mRNA
2033	7422	TF cofactor	16724055	9606	9606	EP300	entrezGeneID	VEGFA	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, ep300 improves accessibility of polymerase to vegf promoter
3791	sprouting angiogenesis	activates	16724055	9606	9606	KDR	entrezGeneID	sprouting angiogenesis	NA	NA	NA	NA	NA	NA	literature	mazure, vegfr2 activates sprouting angiogenesis
7010	quiescence	preserves	16724055	9606	9606	TEK	entrezGeneID	quiescence	NA	NA	NA	NA	NA	NA	literature	mazure, tie-2 preserves quiescent state
low oxygen	285	activates	16724055	9606	9606	low oxygen	NA	ANGPT2	entrezGeneID	NA	NA	NA	NA	NA	literature	mazure, ang2 detects
3091	3091	hydroxylated	16724055	9606	9606	HIF1A	entrezGeneID	HIF1A	entrezGeneID	NA	NA	NA	hydroxylated	cytoplasm	literature	mazure, hif1 can be hydroxylated
